sample_id,prediction_date,regime_bucket,research_scope,independent_news_source_count,fundamental_ticker_coverage,fundamental_coverage_state,event_evidence_ready,fundamental_evidence_ready,eligible_for_full_kg_backtest,kg_backtest_state,future_return_1d,future_return_5d,future_return_20d,future_max_drawdown_20d
HIST-20080609,2008-06-09,橫盤／低波動,市場技術與壓力基準,0,0,資料不足,False,False,False,需要歷史多來源事件回補,-0.0047165927872983016,0.0006146935688424726,-0.05675512935265048,-0.0842500442803159
HIST-20080626,2008-06-26,明顯下跌趨勢,市場技術與壓力基準,0,0,資料不足,False,False,False,需要歷史多來源事件回補,0.0,-0.022344178334640308,-0.008324157002949972,-0.03110625462175287
HIST-20080627,2008-06-27,明顯下跌趨勢,市場技術與壓力基準,0,0,資料不足,False,False,False,需要歷史多來源事件回補,-0.010515113119921926,-0.016429402924395653,-0.02694441892316335,-0.03110625462175287
HIST-20080630,2008-06-30,明顯下跌趨勢,市場技術與壓力基準,0,0,資料不足,False,False,False,需要歷史多來源事件回補,0.014168617462444022,0.01771077182805514,0.003763391783591752,-0.020809960591471444
HIST-20080703,2008-07-03,明顯下跌趨勢,市場技術與壓力基準,0,0,資料不足,False,False,False,需要歷史多來源事件回補,0.006049956722161465,-0.0015681945586449864,0.005601631494544179,-0.008962332236908455
HIST-20080708,2008-07-08,明顯下跌趨勢,市場技術與壓力基準,0,0,資料不足,False,False,False,需要歷史多來源事件回補,-0.026538999034584232,-0.03763327511262382,-0.0008698386183656481,-0.03785037309798145
HIST-20080714,2008-07-14,明顯下跌趨勢,市場技術與壓力基準,0,0,資料不足,False,False,False,需要歷史多來源事件回補,0.00022563848624734817,0.012435076309612825,0.07958382680266451,0.00022563848624734817
HIST-20080724,2008-07-24,明顯下跌趨勢,市場技術與壓力基準,0,0,資料不足,False,False,False,需要歷史多來源事件回補,0.012978920489454149,0.01723065634789611,0.04878092335000317,-0.0060413399639658305
HIST-20080725,2008-07-25,明顯下跌趨勢,市場技術與壓力基準,0,0,資料不足,False,False,False,需要歷史多來源事件回補,-0.018776560961633493,-0.008615268538159304,0.049039297858748165,-0.018776560961633493
HIST-20080728,2008-07-28,明顯下跌趨勢,市場技術與壓力基準,0,0,資料不足,False,False,False,需要歷史多來源事件回補,0.02071117569071612,0.00022537208602035896,0.04660091883540729,0.00022537208602035896
HIST-20080729,2008-07-29,明顯下跌趨勢,市場技術與壓力基準,0,0,資料不足,False,False,False,需要歷史多來源事件回補,0.005073391735895383,0.013013162284779556,0.02404118636185304,-0.020070127664501225
HIST-20080811,2008-08-11,強勢反彈／轉折,市場技術與壓力基準,0,0,資料不足,False,False,False,需要歷史多來源事件回補,0.001047068014574437,-0.0031417611429596093,-0.11099468768738263,-0.11099468768738263
HIST-20080812,2008-08-12,強勢反彈／轉折,市場技術與壓力基準,0,0,資料不足,False,False,False,需要歷史多來源事件回補,-0.002092316630819324,-0.01652724227232749,-0.1046027534026116,-0.11192456307191923
HIST-20080813,2008-08-13,強勢反彈／轉折,市場技術與壓力基準,0,0,資料不足,False,False,False,需要歷史多來源事件回補,0.011530754425705503,-0.012787772754806248,-0.08595332208733819,-0.11006253210745853
HIST-20080818,2008-08-18,強勢反彈／轉折,市場技術與壓力基準,0,0,資料不足,False,False,False,需要歷史多來源事件回補,-0.012394659320579482,-0.023318784784650326,-0.10903308114379373,-0.1159658640173461
HIST-20080826,2008-08-26,明顯下跌趨勢,市場技術與壓力基準,0,0,資料不足,False,False,False,需要歷史多來源事件回補,0.006461110110062229,-0.028214873282011554,-0.11958845145439667,-0.1339652641446537
HIST-20080908,2008-09-08,明顯下跌趨勢,市場技術與壓力基準,0,0,資料不足,False,False,False,需要歷史多來源事件回補,-0.021212699568674,-0.02974384284696252,-0.19567694616290743,-0.19567694616290743
HIST-20080910,2008-09-10,明顯下跌趨勢,市場技術與壓力基準,0,0,資料不足,False,False,False,需要歷史多來源事件回補,0.018692213219700937,-0.06051364093282585,-0.24271400738709492,-0.24271400738709492
HIST-20080912,2008-09-12,明顯下跌趨勢,市場技術與壓力基準,0,0,資料不足,False,False,False,需要歷史多來源事件回補,-0.03108457337636583,-0.011537925588740783,-0.27835350120639735,-0.27835350120639735
HIST-20080916,2008-09-16,高波動／壓力,市場技術與壓力基準,0,0,資料不足,False,False,False,需要歷史多來源事件回補,-0.05187466965068277,-0.042741765520563635,-0.20696410859209302,-0.2609971824130387
HIST-20080917,2008-09-17,高波動／壓力,市場技術與壓力基準,0,0,資料不足,False,False,False,需要歷史多來源事件回補,0.0338221261827385,0.016600734468297684,-0.23848228188401943,-0.23848228188401943
HIST-20081010,2008-10-10,高波動／壓力,市場技術與壓力基準,0,0,資料不足,False,False,False,需要歷史多來源事件回補,0.12164761242314892,0.03128958729692588,-0.0041509236982900655,-0.0839720702800908
HIST-20081014,2008-10-14,高波動／壓力,市場技術與壓力基準,0,0,資料不足,False,False,False,需要歷史多來源事件回補,-0.08955666965620845,-0.06337417648912502,-0.10443310570237019,-0.14638514046375184
HIST-20081113,2008-11-13,高波動／壓力,市場技術與壓力基準,0,0,資料不足,False,False,False,需要歷史多來源事件回補,-0.048588180551258575,-0.16086667443402636,-0.025607123163415846,-0.16086667443402636
HIST-20081216,2008-12-16,強勢反彈／轉折,市場技術與壓力基準,0,0,資料不足,False,False,False,需要歷史多來源事件回補,-0.012107223290081848,-0.04770326730258845,-0.04639271886282181,-0.06179432704109633
HIST-20081218,2008-12-18,強勢反彈／轉折,市場技術與壓力基準,0,0,資料不足,False,False,False,需要歷史多來源事件回補,0.008204965343219461,-0.016443242304978734,-0.055947610234942546,-0.055947610234942546
HIST-20081223,2008-12-23,明顯下跌趨勢,市場技術與壓力基準,0,0,資料不足,False,False,False,需要歷史多來源事件回補,0.0027527757263079433,0.023399925796925736,-0.005505779816611489,-0.03785262636103037
HIST-20081224,2008-12-24,明顯下跌趨勢,市場技術與壓力基準,0,0,資料不足,False,False,False,需要歷史多來源事件回補,-0.00034289614012206204,0.0648595222759134,-0.001029371631626197,-0.04049393137598367
HIST-20081229,2008-12-29,明顯下跌趨勢,市場技術與壓力基準,0,0,資料不足,False,False,False,需要歷史多來源事件回補,0.020768566913829556,0.08445871627210666,0.050536624106159334,-0.03219109112177243
HIST-20081230,2008-12-30,強勢反彈／轉折,市場技術與壓力基準,0,0,資料不足,False,False,False,需要歷史多來源事件回補,0.008477260152639055,0.0322139336323386,0.003051612624473954,-0.0518821403324744
HIST-20081231,2008-12-31,強勢反彈／轉折,市場技術與壓力基準,0,0,資料不足,False,False,False,需要歷史多來源事件回補,0.04337592255468392,0.03429737082374906,-0.022864889088890616,-0.0598520193464529
HIST-20090105,2009-01-05,強勢反彈／轉折,市場技術與壓力基準,0,0,資料不足,False,False,False,需要歷史多來源事件回補,0.009993819424947592,-0.04835610038874083,-0.037073110134253295,-0.09864617095654582
HIST-20090106,2009-01-06,強勢反彈／轉折,市場技術與壓力基準,0,0,資料不足,False,False,False,需要歷史多來源事件回補,-0.028407884991361376,-0.05745341242142443,-0.045324508529553165,-0.10756500514364431
HIST-20090107,2009-01-07,明顯下跌趨勢,市場技術與壓力基準,0,0,資料不足,False,False,False,需要歷史多來源事件回補,0.010512786860847667,-0.05946107941956136,0.004270983170558962,-0.08147155470850964
HIST-20090116,2009-01-16,明顯下跌趨勢,市場技術與壓力基準,0,0,資料不足,False,False,False,需要歷史多來源事件回補,-0.04962584763432332,-0.010536884320819562,-0.006797691550356699,-0.04962584763432332
HIST-20090122,2009-01-22,明顯下跌趨勢,市場技術與壓力基準,0,0,資料不足,False,False,False,需要歷史多來源事件回補,0.004867741748405985,0.028511597219540885,0.0038243081118158884,0.0010429721444906725
HIST-20090130,2009-01-30,明顯下跌趨勢,市場技術與壓力基準,0,0,資料不足,False,False,False,需要歷史多來源事件回補,0.012043993258085806,0.07949061431589532,-0.08327620427372562,-0.08327620427372562
HIST-20090202,2009-02-02,明顯下跌趨勢,市場技術與壓力基準,0,0,資料不足,False,False,False,需要歷史多來源事件回補,0.015640975053822226,0.07106429769126965,-0.09486547079636531,-0.09486547079636531
HIST-20090219,2009-02-19,明顯下跌趨勢,市場技術與壓力基準,0,0,資料不足,False,False,False,需要歷史多來源事件回補,0.0027784381337463415,-0.03473428001486911,0.030913725888533916,-0.10593939269140384
