date,vix_level,vix_5d_change,qqq_spy_rel_63d,hyg_tlt_rel_20d,qqq_voo_rel_20d,hy_oas_level,hy_oas_20d_change,curve_10y2y,cpi_yoy_proxy,pce_yoy_proxy,unemployment_rate,nonfarm_payrolls,initial_jobless_claims,news_count,news_official_rows,news_pending_rows,news_rejected_rows,news_signal_rows,news_fear_score,news_hype_score,policy_risk_score,news_sentiment_confidence,vix_percentile_252d,hy_oas_percentile_252d,news_fear_percentile_252d,news_hype_percentile_252d,policy_risk_percentile_252d,market_mood_score,market_mood_label,regime_window,data_origin
2015-11-10,15.289999961853027,0.05158184332652627,0.02391649670024054,0.03325213656902326,0.025495025137986183,,,1.45,-0.0021106803790814643,,5.1,142808.0,264084.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5714285714285714,,0.501984126984127,0.501984126984127,0.501984126984127,20.44,防守,outside_named_windows,reconstructed
2015-11-11,16.059999465942383,0.03546094319433801,0.027083497615604912,0.04274598705382093,0.02498012013131956,,,1.45,-0.0021106803790814643,,5.1,142808.0,264084.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6507936507936508,,0.501984126984127,0.501984126984127,0.501984126984127,20.75,防守,outside_named_windows,reconstructed
2015-11-12,18.3700008392334,0.2205980469383919,0.03366143486246265,0.023348658304105818,0.027347050075203105,,,1.43,-0.0021106803790814643,,5.1,142808.0,264084.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7658730158730159,,0.501984126984127,0.501984126984127,0.501984126984127,15.06,防守,outside_named_windows,reconstructed
2015-11-13,20.079999923706055,0.40125610820749547,0.02208849195054774,0.010285727498104302,0.018808211970460453,,,1.42,-0.0021106803790814643,,5.1,142808.0,264084.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8392857142857143,,0.501984126984127,0.501984126984127,0.501984126984127,7.35,防守,outside_named_windows,reconstructed
2015-11-16,18.15999984741211,0.09927356805112608,0.02353836130326914,0.010455207083260198,0.013231655798700226,,,1.39,0.0,,5.1,142808.0,304753.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,,0.501984126984127,0.501984126984127,0.501984126984127,10.43,防守,outside_named_windows,reconstructed
2015-11-17,18.84000015258789,0.2321779071021417,0.023566750055986407,0.002347714302644688,0.019048262600494192,,,1.39,0.0,,5.1,142808.0,304753.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7777777777777778,,0.501984126984127,0.501984126984127,0.501984126984127,7.98,防守,outside_named_windows,reconstructed
2015-11-18,16.850000381469727,0.049190594134368215,0.034115780789941486,0.013197195325958866,0.02174996574002641,,,1.37,0.0,,5.1,142808.0,304753.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6845238095238095,,0.501984126984127,0.501984126984127,0.501984126984127,15.58,防守,outside_named_windows,reconstructed
2015-11-19,16.989999771118164,-0.07512253702068006,0.05047098498014457,-0.0012012997588889407,0.019928161781071596,,,1.33,0.0,,5.1,142808.0,304753.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6944444444444444,,0.501984126984127,0.501984126984127,0.501984126984127,16.49,防守,outside_named_windows,reconstructed
2015-11-20,15.470000267028809,-0.2295816570813215,0.04976506623308197,-0.010391252330766987,0.006029887244161758,,,1.33,0.0,,5.1,142808.0,304753.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5793650793650794,,0.501984126984127,0.501984126984127,0.501984126984127,17.93,防守,outside_named_windows,reconstructed
2015-11-23,15.619999885559082,-0.13986784048431533,0.03951573857328361,-0.00665205461157381,0.0012837795396845042,,,1.31,0.0,,5.1,142808.0,262141.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5952380952380952,,0.501984126984127,0.501984126984127,0.501984126984127,15.64,防守,outside_named_windows,reconstructed
2015-11-24,15.930000305175781,-0.15445858937598722,0.025397352841735277,0.0005038225706153199,-0.0051837534815939446,,,1.31,0.0,,5.1,142808.0,262141.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6150793650793651,,0.501984126984127,0.501984126984127,0.501984126984127,12.95,防守,outside_named_windows,reconstructed
2015-11-25,15.1899995803833,-0.09851636578667144,0.025845100860310666,-0.007415516735260863,-0.0007374369263509761,,,1.3,0.0,,5.1,142808.0,262141.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5079365079365079,,0.501984126984127,0.501984126984127,0.501984126984127,14.69,防守,outside_named_windows,reconstructed
2015-11-27,15.119999885559082,-0.11006473871400246,0.026352597490974627,-0.01818380287035881,0.0008887877383902953,,,1.3,0.0,,5.1,142808.0,262141.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49603174603174605,,0.501984126984127,0.501984126984127,0.501984126984127,13.02,防守,outside_named_windows,reconstructed
2015-11-30,16.1299991607666,0.042663146887233605,0.03251737520020681,-0.01642636779698403,0.0018298429868708332,,,1.27,0.0,,5.1,142808.0,383633.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6349206349206349,,0.501984126984127,0.501984126984127,0.501984126984127,10.75,防守,outside_named_windows,reconstructed
2015-12-01,14.670000076293945,-0.060819450462571756,0.034489671666127375,-0.030128860027596294,0.0027185092505679354,,,1.24,-0.0034170964371187385,,5.0,143077.0,383633.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4305555555555556,,0.501984126984127,0.501984126984127,0.501984126984127,14.63,防守,outside_named_windows,reconstructed
2015-12-02,15.90999984741211,-0.0012555214928133829,0.029394471508813247,-0.04136878119953313,0.006842862812678208,,,1.24,-0.0034170964371187385,,5.0,143077.0,383633.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6031746031746031,,0.501984126984127,0.501984126984127,0.501984126984127,5.93,防守,outside_named_windows,reconstructed
2015-12-03,18.110000610351562,0.19223180451823163,0.03211861420184836,-0.013169511418349544,0.001119643262284642,,,1.37,-0.0034170964371187385,,5.0,143077.0,383633.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7420634920634921,,0.501984126984127,0.501984126984127,0.501984126984127,8.08,防守,outside_named_windows,reconstructed
